record_type,stamp_sec,cycle,vehicle_id,vehicle,cell_x,cell_y,slope,roughness,step,coarse_cost,n_points,interpolated,pose_status,status,roll_deg,pitch_deg,contact_points,stable,final_cost,success_count,collision_count,failure_count,skipped_cells
cell,3.205,1,2,tracked car,7.75,7.75,0.370638639,0.153348029,0.633692265,0.385892957,0,1,2,success,24.5564252,-12.317795,6,1,0.61457032,,,,
cell,3.205,1,1,wheeled car,7.75,7.25,0.300772846,0.245757639,0.633692265,0.393407583,1,0,2,success,15.5959843,-0.420144947,8,1,0.266935498,,,,
cell,3.205,1,2,tracked car,7.75,7.25,0.300772846,0.245757639,0.633692265,0.393407583,1,0,2,success,15.0352369,-8.20936562,5,1,0.387410045,,,,
cell,3.205,1,1,wheeled car,7.25,12.25,0.47166118,0.682446361,0.0349214673,0.396342993,0,1,1,collision,0,0,6,0,1,,,,
cell,3.205,1,2,tracked car,7.25,12.25,0.47166118,0.682446361,0.0349214673,0.396342993,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,1,wheeled car,7.25,11.75,0.580721736,0.599015832,nan,nan,0,0,1,collision,0,0,8,0,1,,,,
cell,3.205,1,2,tracked car,7.25,11.75,0.580721736,0.599015832,nan,nan,0,0,1,collision,0,0,8,0,1,,,,
cell,3.205,1,1,wheeled car,7.25,11.25,0.526841879,1.04681623,1.43912137,1,0,1,2,success,4.08045751,-21.8944014,5,1,0.432914317,,,,
cell,3.205,1,2,tracked car,7.25,11.25,0.526841879,1.04681623,1.43912137,1,0,1,1,collision,0,0,2,0,1,,,,
cell,3.205,1,1,wheeled car,7.25,10.75,0.318706751,1.29996991,0.014334023,1,1,0,1,collision,0,0,3,0,1,,,,
cell,3.205,1,2,tracked car,7.25,10.75,0.318706751,1.29996991,0.014334023,1,1,0,2,success,6.93182493,-19.3580599,6,1,0.438164741,,,,
cell,3.205,1,1,wheeled car,7.25,9.75,0.470215172,0.876624107,1.1591351,1,0,1,2,success,17.3449092,-16.0640795,2,1,0.556816459,,,,
cell,3.205,1,2,tracked car,7.25,9.75,0.470215172,0.876624107,1.1591351,1,0,1,2,success,16.3931265,-10.5162466,4,1,0.448489547,,,,
